Oven Name,Total Quantity
3 Bears Oven,12
After Xmas Sale Oven,2
After Xmas Sale Stove,0
Alice Oven,0
Ambrosia Chiller,1
American Oven,0
Amethyst Oven,12
Anti Griddle,0
Arepa Oven,0
Around the World Oven,0
Arrangement Stations,0
Artisan Bread Oven,6
Artsy Icebox,0
Autumn Drink Machine,0
Autumn Elegance Oven,6
Autumn Leaf Cider Machine,5
Autumn Oven B,3
Autumn Pie Oven,0
Autumn Turquoise Oven,6
Autumn Turquoise Stove,6
Bakesgiving Oven,6
Baking Oven,0
Ballpark Fountain,0
Banana Stand,0
Banner Oven,0
Barbecue Oven,0
Barnyard Oven B,0
Barnyard Oven B2021,0
Barnyard Stove B,0
Barrel Stove,0
Basic Oven,18
Basket Oven,1
Bavarian Oven,2
Beach Baker,1
Beach Oven,0
Beehive Oven,0
Belle Oven,0
Big Apple Oven,5
Big City Baker,0
Blue Bun Oven,5
Blue Gift Stove,0
Blue Pink Stove,0
Blue Speckled Oven,1
Blue Team Baker,0
Blues Oven,6
Bountiful Oven,4
Bountiful Stove,4
Bow Fountain,0
Bread Machine,5
Breakfast Oven,0
Brick Oven,0
Bright Prep Table,0
Bubble Tea Maker,0
Bunny Drink Machine,0
Bunny Ears Oven,0
Bunny Oven,0
Bussing Oven,0
Cabin Stove,1
Cackling Oven,0
Caffe La Macchina,0
Calaveras Fountain,0
Calaveras Oven,0
Caliente Oven,0
Camping Cute Stove,0
Camping Drink Mixer,1
Canape Oven,0
Candy Cane Maker,0
Candy Cauldron,2
Candy Cooker,0
Candy Corn Oven,0
Candy Hatchery,2
Candy Heart Dispenser,0
Candy Heart Oven,0
Candy Oven,2
Carnival Carousel Oven,4
Carnival Tent Oven,5
Cassette Deck,5
Castle Oven,0
CatSpresso Machine,2
CatEr Waves,0
Celestial Oven,0
Cereal Oven,0
Char Cutie Rie Station,1
Cheesecake Chiller,0
Cherry Blossom Oven,1
Cherry Blossom Stove,0
Cherry Oven,0
Chilly Oven,0
Chinese Zodiac Oven,0
Chinese Zodiac Stove,0
Choco Love Oven,0
Choco-egg Oven,6
Choco-egg Stove,0
Chocolate Raspberry,1
Chroma Stove,0
Cider Press,5
Citrusmas Oven,0
Citrusmas Stove,0
City Cooker,0
Classic Bread Oven,1
Clay Oven,2
Clover Oven,0
Coaster Oven,0
Cocoa Maker,5
Coffee Machine,0
Coffin Drink Machine,6
Cold Brew Machine,1
Cold Treat Machine,0
Colombian Coffee Machine,0
Colonial Oven,6
Color Oven,0
Colorful Popcorn Maker,0
Colorful Popcorn Stove,0
Commercial Oven,0
Confetti Oven,0
Cookie Dough Maker,0
Cool Bubble Oven,0
Cornucopi-Oven,1
Cornucopia Oven,0
Cottage Oven,1
Cottage Stove,5
Cotton Tail Stove,0
Crackling Drink Maker,0
Creature Cauldron,0
Crocheted Stove,0
Crystal Chiller,8
Crystal Oven,3
Cursed Oven,0
Cursed Stove,0
Cute Camp Oven,0
Deadly Drink Machine,0
Deep Fryer,12
Deep Sea Oven,1
Dehydrator,0
Dim Sum Station,1
Disco Stove,0
Disposable Stove,0
Dogwood Oven,0
Dogwood Stove,0
Donut Fryer,2
Dorothys Oven,0
Drink Mixer,25
Drizzled Oven,0
Drum Kit Oven,0
DSLR Oven,0
Dublin Dessert Oven,10
Duckling Stove,0
Egyptian Oven,0
Egyptian Stove,0
Electric Kettle,0
Elegant Oven,0
Emerald Isle Oven,1
Emerald Oven,0
Engine Block Stove,1
Equestrian Oven,0
Espresso Machine,2
Experiment Oven,5
Fairy Tale Oven,0
Fall Drink Maker,0
Fall Fountain,0
Fall Oven,0
Fancy Drink Machine,0
Fantasy Stove,0
Fire Pit,0
Fireplace Oven,3
Firework Oven,0
Flag Stove,0
Floral Cider Machine,8
Floral Fountain,0
Floral Oven,0
Floral Stove,0
Flower Bloom Oven,0
Fluffy Oven,8
Fondue Fountain,0
Four Leaf Oven,0
Frappe Fountain,0
French Coffee Press,0
French Cookie Oven,0
Frog Oven,1
Frog Stove,0
Frono Di Pasticcino,0
Frosty Freezer,0
Frosty Stove,0
Frozen Banana Stand,0
Frozen Coffee Machine,0
Frozen Drink Machine,4
Frozen Fruit Fountain,0
Frozen Gift Machine,6
Frozen Gift Oven,6
Frozen Stove,0
Fruit Chocolate Dip,0
Fruit Juicer,1
Fudge Station,1
Fusion Oven,2
Galaxy Oven,0
Garden Cottage Oven,0
Garden Fountain,6
Garden Grove Stove,0
Garden Oven,0
Gelato Cart,0
Glazed Stove,0
Gold Gilded Oven,0
Golden Bird Stove,0
Gothic Home Oven,7
Gourd Oven,5
Gourmet Soda Machine,0
Grand Slam Oven,0
Grape Oven,8
Grape Stove,8
Grapefruit Cooker,12
Greco Oven,0
Green Shop Stove,0
Griddle,0
Guitar Oven,0
Hallo Oven,0
Harvest Candy Maker,1
Harvest Fair Oven,0
Harvest Fair Stove,0
Harvest Oven,0
Harvest Stove,6
Haunted Drink Machine,0
Haunted Home Stove,7
Haute Stove,0
Hawaiian Oven,1
Hay Bale Fountain,1
Headstone Oven,8
Healthy Oven,0
Healthy Sweets Machine,12
Heart Bakers Oven,0
Hi Fi Player,0
HOHOHOliday Oven,1
HOHOHOliday Stove,0
Holiday Drink Mixer,1
Holiday Night Oven,5
Holiday Oven,1
Homey Stove,0
Honey Maker,0
Honey Mixer,7
Honeycomb Oven,6
Horseshoe Stove,0
Ice Box,0
Ice Cream Maker,9
Import Ice Creamery,0
Inspired Oven,0
Intergalactic Stove,1
Interstellar Fountain,0
Iron Oven,0
Italian Soda Fountain,0
Italitan Oven,2
Ivy Grown Stove,0
Jam Maker,3
Jazz Oven,1
Juneteenth Chiller,0
Juneteenth Oven,0
Kettle Oven,5
Khmer Oven,0
Khmer Stove,0
Kingpin Oven,1
Kingpin Treat Machine,0
Kitchen Stove,0
Kitschy Oven,0
Koi Pond Oven,1
Ladoo Oven,0
Lamp Oven,1
Laughter Oven,0
Leprechaun Luck Oven,0
Lilac Speckled Oven,0
Loaf Oven,5
London Oven,0
Lorettas Oven,0
Lounge Stove,0
Love Letter Oven,0
Loven,0
Lucky Gold Oven,5
Lucky Oven,0
Lunar New Year Drink Mixer,0
Lunar New Year Oven,1
Lunar Oven,12
Luxury Oven,0
Mad Lab Machine,5
Mardi Gras Oven,0
Marigold Muerte Oven,0
Marigold Muerte Stove,0
Marzipan Oven,6
Masquerade Stove,0
Mayflower Maker,3
Mediterranean Stove,1
Mediterroven,5
Melon Chiller,0
Melon Oven,0
Miami Drink Mixer,0
Miami Oven,0
Micro Door Oven,0
Mini Heater Stove,0
Monster Oven,5
Moon Festival Fountain,1
Moon Festival Oven,1
Morning Mixer,6
Morning Oven,6
Mother Goose Stove,0
Motherly Oven,1
Movie Night Oven,0
Mrs Claus Kettle Warmer,0
Mrs Claus Oven,0
Museum Oven,1
Musical Drink Machine,1
My Cupcake Oven,0
Mystical Oven,7
Mystical Stove,7
New Dawn Dispenser,7
New Dawn Oven,6
Nona Oven,1
North Polar Oven,4
Northeastern Dispencer,5
Northeastern Oven,5
Nuptial Oven,6
Nursery Rhyme Oven,0
Ocean Oven,0
Octob Oven,0
Old Brick Oven,1
Old Brick Oven,0
Ominous Oven,0
Opalescent Machine,1
Orchid Oven,0
Orchid Swirler,0
Outdoor Spring Oven,2
Packaged Stove,0
Palace Stove,0
Paleta Chiller,0
Pampered Oven,0
Pampered Range,0
Pancake Griddle,8
Pansy Oven,1
Parade Cotton Candy Maker,1
Parade Fountain,1
Paradise Oven,0
Parfait Potion,0
Pastel Dispenser,4
Pastel Holiday Fountain,3
Pastel Holiday Oven,0
Pastel Oven,1
Pastel Oven,5
Pastry Cart,0
Patisserie Oven,0
Patriotic Oven,0
Patriotic Stove,0
Peachy Mixer,0
Peachy Oven,0
Peacock Oven,0
Peacock Sweets Machine,0
Pearlescent Baker,0
Pearlescent Mixer,0
Peony Drink Mixer,1
Peony Oven,5
Peppermint Stove,6
Persistent Glass Stove,0
Petal Oven,10
Petal Pastry Oven,0
Phone Box,0
Picnic Basket,0
