Oven,Name,Cost,Revenue,Quantity,Hours to Cook,Unlocked?,Completed?,Primary Color,Holiday,Season,Type,Other Tags
3 Bears Oven,Mini Chocolate Cake,940,1400,350,1,TRUE,TRUE,Brown,,,Puddings/Parfaits,
3 Bears Oven,Dyed Egg Macarons,940,1400,350,1,TRUE,TRUE,Rainbow,Easter,,Macarons,
3 Bears Oven,Bear Buns,940,1400,350,1,TRUE,TRUE,Brown,,,Breads,
3 Bears Oven,Saffron Buns,940,1400,350,1,TRUE,TRUE,Green,,,Breads,
3 Bears Oven,Biscuits and Jam,940,1400,350,1,TRUE,TRUE,Tan,,,Breads,
3 Bears Oven,Wojapi and Fry Bread,940,1400,350,1,TRUE,TRUE,Tan,,,Breads,
3 Bears Oven,Wolf Bun,940,1400,350,1,TRUE,TRUE,Tan,,Winter,Cookies,
3 Bears Oven,Monkey Bread,940,1400,350,1,TRUE,TRUE,Tan,,,Breads,
3 Bears Oven,Matcha Crinkle Cookie,940,1400,350,1,TRUE,TRUE,Green,,,Cookies,
3 Bears Oven,Too Hot,3540,8600,2150,24,TRUE,TRUE,Red,Valentine's Day,,Cookies,
3 Bears Oven,Too Cold,2840,5000,1250,6,TRUE,FALSE,Blue,,Winter,Cookies,
3 Bears Oven,Just Right,5380,10800,2700,12,TRUE,FALSE,Yellow,,,Cookies,
3 Bears Oven,Matcha Strawberries,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Matcha Roll Cake,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Saffron Milk Cakes,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Saffron Crab Tarts,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Grape Dumplings,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Lakota Plum Cake,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Tiger Cake,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Bear Claw,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Macaron Tray,1620,3000,750,8,FALSE,FALSE,,,,Macarons,
3 Bears Oven,Bear Shaped Macarons,1380,2200,550,3,FALSE,FALSE,,,,Macarons,
3 Bears Oven,Secret Shaek,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Magnolia Muffin,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Mini Colorful Cake,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Mini Strawberry Shortcake,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Apricot Jam Cookies,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Jam Layer Cake,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Beary Parfait,1620,3000,750,8,FALSE,FALSE,,,,,
3 Bears Oven,Teddy Flan,1380,2200,550,3,FALSE,FALSE,,,,,
3 Bears Oven,Alpine Chocolate,940,1400,350,1,TRUE,TRUE,,,,,
3 Bears Oven,Rice Crispy Peaks,1380,2200,550,3,TRUE,TRUE,,,,,
3 Bears Oven,Hill Cake,1620,3000,750,8,TRUE,TRUE,Green,,,,
After Xmas Sale Oven,Leftover Cran-sauce Muffin,1220,1900,475,2,TRUE,TRUE,,,,,
After Xmas Sale Oven,Leftover Gingerbread Cinnamon Roll,1380,2200,550,3,FALSE,FALSE,,,,,
After Xmas Sale Oven,Leftover Turkey Crescent Ring,1540,2600,650,5,FALSE,FALSE,,,,,
After Xmas Sale Stove,Leftover Candy Cane Coffee,1220,1900,475,2,FALSE,FALSE,,,,,
